municipio,nascimentos
292220 Muniz Ferreira,71
292225 Muquem de Sao Francisco,177
292230 Muritiba,307
292240 Mutuipe,252
292250 Nazare,283
292260 Nilo Pecanha,167
292265 Nordestina,164
292270 Nova Canaa,154
292273 Nova Fatima,68
292275 Nova Ibia,44
292280 Nova Itarana,109
292285 Nova Redencao,95
292290 Nova Soure,332
292300 Nova Vicosa,433
292303 Novo Horizonte,156
292305 Novo Triunfo,107
292310 Olindina,282
292320 Oliveira dos Brejinhos,246
292330 Ouricangas,66
292335 Ourolandia,247
292340 Palmas de Monte Alto,237
292350 Palmeiras,151
292360 Paramirim,239
292370 Paratinga,425
292380 Paripiranga,281
292390 Pau Brasil,153
292400 Paulo Afonso,1749
292405 Pe de Serra,148
292410 Pedrao,76
292420 Pedro Alexandre,190
292430 Piata,239
292440 Pilao Arcado,604
292450 Pindai,148
292460 Pindobacu,262
292465 Pintadas,72
292467 Pirai do Norte,95
292470 Piripa,93
292480 Piritiba,205
292490 Planaltino,78
292500 Planalto,296
292510 Pocoes,650
292520 Pojuca,418
292525 Ponto Novo,257
292530 Porto Seguro,2762
292540 Potiragua,106
292550 Prado,521
292560 Presidente Dutra,149
292570 Presidente Janio Quadros,122
292575 Presidente Tancredo Neves,384
292580 Queimadas,333
292590 Quijingue,301
292593 Quixabeira,98
292595 Rafael Jambeiro,213
292600 Remanso,647
292610 Retirolandia,175
292620 Riachao das Neves,299
292630 Riachao do Jacuipe,383
292640 Riacho de Santana,339
292650 Ribeira do Amparo,177
292660 Ribeira do Pombal,731
292665 Ribeirao do Largo,107
292670 Rio de Contas,137
292680 Rio do Antonio,130
292690 Rio do Pires,85
292700 Rio Real,469
292710 Rodelas,184
292720 Ruy Barbosa,412
292730 Salinas da Margarida,191
292740 Salvador,30149
292750 Santa Barbara,230
292760 Santa Brigida,205
292770 Santa Cruz Cabralia,453
292780 Santa Cruz da Vitoria,58
292790 Santa Ines,103
292805 Santa Luzia,161
292810 Santa Maria da Vitoria,523
292840 Santa Rita de Cassia,386
292850 Santa Teresinha,148
292800 Santaluz,529
292820 Santana,302
292830 Santanopolis,55
292860 Santo Amaro,578
292870 Santo Antonio de Jesus,1320
292880 Santo Estevao,638
292890 Sao Desiderio,548
292895 Sao Domingos,70
292910 Sao Felipe,212
292900 Sao Felix,155
292905 Sao Felix do Coribe,250
292920 Sao Francisco do Conde,563
292925 Sao Gabriel,223
292930 Sao Goncalo dos Campos,341
292935 Sao Jose da Vitoria,82
292937 Sao Jose do Jacuipe,128
292940 Sao Miguel das Matas,113
292950 Sao Sebastiao do Passe,456
292960 Sapeacu,210
292970 Satiro Dias,172
292975 Saubara,134
292980 Saude,109
292990 Seabra,623
293000 Sebastiao Laranjeiras,82
293010 Senhor do Bonfim,1010
293020 Sento Se,499
293015 Serra do Ramalho,565
293030 Serra Dourada,216
293040 Serra Preta,88
293050 Serrinha,1145
293060 Serrolandia,155
293070 Simoes Filho,1749
293075 Sitio do Mato,190
293076 Sitio do Quinto,137
293077 Sobradinho,433
293080 Souto Soares,233
293090 Tabocas do Brejo Velho,135
293100 Tanhacu,253
293105 Tanque Novo,198
293110 Tanquinho,74
293120 Taperoa,215
293130 Tapiramuta,243
293135 Teixeira de Freitas,2547
293140 Teodoro Sampaio,70
293150 Teofilandia,263
293160 Teolandia,178
293170 Terra Nova,108
293180 Tremedal,171
293190 Tucano,567
293200 Uaua,337
293210 Ubaira,199
293220 Ubaitaba,255
293230 Ubata,204
293240 Uibai,149
293245 Umburanas,207
293250 Una,237
293260 Urandi,163
293270 Urucuca,297
293280 Utinga,221
293290 Valenca,1371
293300 Valente,263
293305 Varzea da Roca,120
293310 Varzea do Poco,88
293315 Varzea Nova,174
293317 Varzedo,99
293320 Vera Cruz,552
293325 Vereda,70
293330 Vitoria da Conquista,5174
293340 Wagner,99
293345 Wanderley,164
293350 Wenceslau Guimaraes,296
293360 XiqueXique,856
